min_accept,fidelity_scale,boundary_pen,asr,utility
WEAK,0.0,0,0.8,1.0
WEAK,0.0,1,0.8,1.0
WEAK,0.25,0,0.8,1.0
WEAK,0.25,1,0.8,1.0
WEAK,0.5,0,0.8,1.0
WEAK,0.5,1,0.8,1.0
WEAK,1.0,0,0.2667,0.8333
WEAK,1.0,1,0.2667,0.8333
DERIVED,0.0,0,0.4,1.0
DERIVED,0.0,1,0.4,1.0
DERIVED,0.25,0,0.4,1.0
DERIVED,0.25,1,0.4,1.0
DERIVED,0.5,0,0.4,1.0
DERIVED,0.5,1,0.4,1.0
DERIVED,1.0,0,0.1333,0.5
DERIVED,1.0,1,0.1333,0.5
MODERATE,0.0,0,0.4,1.0
MODERATE,0.0,1,0.4,1.0
MODERATE,0.25,0,0.4,1.0
MODERATE,0.25,1,0.4,1.0
MODERATE,0.5,0,0.4,1.0
MODERATE,0.5,1,0.4,1.0
MODERATE,1.0,0,0.0,0.1667
MODERATE,1.0,1,0.0,0.1667
STRONG,0.0,0,0.0,0.5
STRONG,0.0,1,0.0,0.5
STRONG,0.25,0,0.0,0.5
STRONG,0.25,1,0.0,0.5
STRONG,0.5,0,0.0,0.5
STRONG,0.5,1,0.0,0.5
STRONG,1.0,0,0.0,0.0
STRONG,1.0,1,0.0,0.0
