size,enforce_origin_ceiling,apply_transformation_penalty,require_signatures,soft_binding,cross_org_aware,detect_transformation_lies,asr,utility,secure,minimal
0,False,False,False,False,False,False,1.0,1.0,False,False
1,False,True,False,False,False,False,0.125,0.75,False,False
1,False,False,False,False,True,False,1.0,1.0,False,False
1,False,False,False,False,False,True,1.0,1.0,False,False
1,True,False,False,False,False,False,0.5,1.0,False,False
1,False,False,True,False,False,False,0.625,1.0,False,False
1,False,False,False,True,False,False,1.0,1.0,False,False
2,False,True,False,False,True,False,0.125,0.75,False,False
2,False,True,False,False,False,True,0.0938,0.75,True,True
2,True,True,False,False,False,False,0.0312,0.75,True,True
2,False,True,True,False,False,False,0.125,0.75,False,False
2,False,True,False,True,False,False,0.125,0.75,False,False
2,False,False,False,False,True,True,1.0,1.0,False,False
2,True,False,False,False,True,False,0.5,1.0,False,False
2,False,False,True,False,True,False,0.625,1.0,False,False
2,False,False,False,True,True,False,1.0,1.0,False,False
2,True,False,False,False,False,True,0.5,1.0,False,False
2,False,False,True,False,False,True,0.625,1.0,False,False
2,False,False,False,True,False,True,1.0,1.0,False,False
2,True,False,True,False,False,False,0.125,1.0,False,False
2,True,False,False,True,False,False,0.5,1.0,False,False
2,False,False,True,True,False,False,0.625,1.0,False,False
3,False,True,False,False,True,True,0.0938,0.75,True,False
3,True,True,False,False,True,False,0.0312,0.75,True,False
3,False,True,True,False,True,False,0.125,0.75,False,False
3,False,True,False,True,True,False,0.125,0.75,False,False
3,True,True,False,False,False,True,0.0,0.75,True,False
3,False,True,True,False,False,True,0.0938,0.75,True,False
3,False,True,False,True,False,True,0.0938,0.75,True,False
3,True,True,True,False,False,False,0.0312,0.75,True,False
3,True,True,False,True,False,False,0.0312,0.75,True,False
3,False,True,True,True,False,False,0.125,0.75,False,False
3,True,False,False,False,True,True,0.5,1.0,False,False
3,False,False,True,False,True,True,0.625,1.0,False,False
3,False,False,False,True,True,True,1.0,1.0,False,False
3,True,False,True,False,True,False,0.125,1.0,False,False
3,True,False,False,True,True,False,0.5,1.0,False,False
3,False,False,True,True,True,False,0.625,1.0,False,False
3,True,False,True,False,False,True,0.125,1.0,False,False
3,True,False,False,True,False,True,0.5,1.0,False,False
3,False,False,True,True,False,True,0.625,1.0,False,False
3,True,False,True,True,False,False,0.125,1.0,False,False
4,True,True,False,False,True,True,0.0,0.75,True,False
4,False,True,True,False,True,True,0.0938,0.75,True,False
4,False,True,False,True,True,True,0.0938,0.75,True,False
4,True,True,True,False,True,False,0.0312,0.75,True,False
4,True,True,False,True,True,False,0.0312,0.75,True,False
4,False,True,True,True,True,False,0.125,0.75,False,False
4,True,True,True,False,False,True,0.0,0.75,True,False
4,True,True,False,True,False,True,0.0,0.75,True,False
4,False,True,True,True,False,True,0.0938,0.75,True,False
4,True,True,True,True,False,False,0.0312,0.75,True,False
4,True,False,True,False,True,True,0.125,1.0,False,False
4,True,False,False,True,True,True,0.5,1.0,False,False
4,False,False,True,True,True,True,0.625,1.0,False,False
4,True,False,True,True,True,False,0.125,1.0,False,False
4,True,False,True,True,False,True,0.125,1.0,False,False
5,True,True,True,False,True,True,0.0,0.75,True,False
5,True,True,False,True,True,True,0.0,0.75,True,False
5,False,True,True,True,True,True,0.0938,0.75,True,False
5,True,True,True,True,True,False,0.0312,0.75,True,False
5,True,True,True,True,False,True,0.0,0.75,True,False
5,True,False,True,True,True,True,0.125,1.0,False,False
6,True,True,True,True,True,True,0.0,0.75,True,False
