chain_length,n_colluders,capm_decision,capm_warrant,capm_asr,naive_warrant,naive_asr
4,0,quarantine,0,0,0,0
4,1,quarantine,0,0,1,0
4,2,quarantine,0,0,2,0
4,3,quarantine,0,0,3,1
6,0,quarantine,0,0,0,0
6,1,quarantine,0,0,1,0
6,2,quarantine,0,0,2,0
6,3,quarantine,0,0,3,1
6,4,quarantine,0,0,4,1
6,5,quarantine,0,0,4,1
8,0,quarantine,0,0,0,0
8,1,quarantine,0,0,1,0
8,2,quarantine,0,0,2,0
8,3,quarantine,0,0,3,1
8,4,quarantine,0,0,4,1
8,5,quarantine,0,0,4,1
8,6,quarantine,0,0,4,1
8,7,quarantine,0,0,4,1
